;Getir Kullan?c? Yorum Analizi
1; TULAYBERKEM GET?R SEN BENCE  YUMURTA KIR EN ?Y?S?    
2; GET?R NASIL  ?L ?ZM?R?N MERKEZ?NE SERV?S?N?Z YOK 
3; GET?R GET?R BANA TAR?H? GEÇM?? YUMURTA GET?R GET?R BANA DEL?K DE??K C?PS PAKET? GET?R VE GET?R BUNLATIN H?ÇB?R? HTTPS T CO FFRTFNFVC
4; GET?RYEMEK GET?R H?Ç B?R ?EY GET?REM?YOR KES?N B?LG? YAYAB?L?RS?N?Z   TEDAR?KÇ?S?NE ULA?AMAYAN B?R S?STEM K?MSEYE HTTPS T CO KBEYERQ
5; TULAYBERKEM GET?R YEMEK B?R SAATTEN FAZLA OLDU GELM?YOR MÜ?TER? TEMS?LC?N?Z DE RESTORANA ULA?AMIYOR BU MU S?Z?N ?? YAPMA ?EKL?N 
6; GET?R MÜSLÜM
7; GET?R YEMEK B?R SAATTEN FAZLA OLDU GELM?YOR MÜ?TER? TEMS?LC?N?Z DE RESTORANA ULA?AMIYOR BU MU S?Z?N ?? YAPMA ?EK HTTPS T CO AGOOICSCK
8;  SAAT ÖNCE VERD???M GET?R POPEYESTR S?PAR???M TESL?M ED?LMED? VE TESL?M ED?LD? B?LG?S? G?R?LD? MÜ?TER? H?ZMET HTTPS T CO LJBTBDBMT
9;YUMURTA MAKARNA YEMEK LÜKS SAYILIYOR ARTIK GET?R DE OLMASA AÇ KALACA?IZ DOLARTL
10; GET?R TEK NEFESTE SAYILIYORSAK TEK NEFESTE G?TT???M?ZDEN  GET?R ARTIK  ?LDE MUTLU S?PAR??LER TÜRK?YE   HTTPS T CO OMDTTS
11; GET?R REKLAM YAZARINIZ HER K?MSE SERDARGOKALP TEN ARAKLAMI? BAYBURT ESPR?S?NE KADAR KOPYALAYIP KOYMU? ÖNÜNÜZE HTTPS T CO KXBVIELQEV
12;HEP AYNI YALAN DOLAN HEP?N?Z AYNISINIZ GET?R HTTPS T CO AVEGRSXPC
13; GET?R EYÜPSULTAN ÇIRÇIR MAHALLES? SU S?PAR??? VERD?K  DAK?KA OLDU KURYE YOK NE KADAR GÜZEL REZ?L B?R H?ZMET
14; S?LAAUNAAL GET?R ÇOK HAKLISINIZ ULA?AB?LMEK B?LE ÇOK ZOR ARTIK TELEFONLA GET?RBOYKOT
15; GET?R YOK ARTIK SERDARGOKALP ?N RADYODAK? AÇILI?INI ÇALMI?SINIZ AYIP AYIP   SERDARGOKALP EDREM?T ? DE SAYIYO ONU DA DESEYD?N?Z 
16;YOK ARTIK SERDARGOKALP ?N RADYODAK? AÇILI?INI ALMI?SINIZ AYIP AYIP GET?R   SERDARGOKALP EDREM?T ? DE SAYIYO O HTTPS T CO BM?HRDZYCW
17; NAZ?MSALUR REKLAM HO?  ?LDE OLMAK GURUR VER?C? BU ARADA HOCAMIZ GERÇEKTEN MÜTH?? MESLE?? GERÇEKTEN Ö?RETMENL?K TÜM Ö?RETMENLER? 
18; NAZ?MSALUR GET?R TÜRK?YE DE EN BE?EN?LEN  ??RKET SEÇ?LM??  YA?INDAK? GET?R L?STEDEK? EN GENÇ ??RKET L?STEDEK? A?IR AB?LERE   B 
19; OZABSADK SERDARGOKALP GET?R HAYIR ARADA ?LÇELER DE VAR 
20; GET?R SAATLERD?R HATTAYIM PARA ÇEKT?N?Z AMA S?PAR?? OLU?TURULMADI
21; GET?R TEK NEFESTE SAYILIYORSAK TEK NEFESTE G?TT???M?ZDEN  GET?R ARTIK  ?LDE MUTLU S?PAR??LER TÜRK?YE   HTTPS T CO OMDTTS
22; GET?R NEDEN SERDARGOKALP ?N ESPR?S?N? ÇALIYORSUNUZ 
23; NAZ?MSALUR REKLAM HO?  ?LDE OLMAK GURUR VER?C? BU ARADA HOCAMIZ GERÇEKTEN MÜTH?? MESLE?? GERÇEKTEN Ö?RETMENL?K TÜM Ö?RETMENLER? 
24;GERÇEK HAYATTA Ö?RETMEN OLDU?UNU AZ ÖNCE NAZ?MSALUR UN TWEET ?NDEN Ö?REND?M TAM UMUTSUZLU?A KAPILMI?KEN B?RDEN HTTPS T CO AGXWGBPV
25; GET?R ÜRÜNLER? DE ÇALARAK MI GET?R?YORSUNUZ SERDARGOKALP
26;B?R?C?K ÜLKEM?N PARLAYAN YILDIZI GET?R TAM  SAAT BOYUNCA EKS?K GELEN S?PAR???N ?PTAL? ?Ç?N U?RA?TIRIP F?NALDE ?P HTTPS T CO HAYGGYHEYU
27; NAZ?MSALUR REKLAM HO?  ?LDE OLMAK GURUR VER?C? BU ARADA HOCAMIZ GERÇEKTEN MÜTH?? MESLE?? GERÇEKTEN Ö?RETMENL?K TÜM Ö?RETMENLER? 
28; SERDARGOKALP GET?R AMA AYIP ETM??S?N?Z SERDARGOKALP E ADAM S?ZDEN ÖNCE YILLARDIR TEK NEFESTE ?LLER? SAYIYOR
29; AYDNSELCEN GET?R DAMADI GET?REB?L?R M?S?N?Z   
30; GET?R GET?R EV?N?ZE TAR?H? GEÇM?? ÜRÜNLER? GET?REREK SA?LI?INIZI TEHD?T ED?YOR D?KKATL? ALI?VER?? YAPIN HER ? HTTPS T CO GALLYWPC
31; YES?LKURT GET?R REKLAMDA OYNAYAN K??? GERÇEKTEN Ö?RETMEN
32;S?PAR???M? YÜZEREK GET?R?YOLAR TE?EKKÜRLER GET?R   HTTPS T CO TSP?PKV
