il,ilce,Olumlu,Olumsuz,,REFARANDUMDA OY KULLANAN ﬁEH›RLER›N EVET - HAYIR OY ORANLARI,,,,,,,
ADANA,,535932,745219,,,,,,,,,
ADANA,ALADA–,6488,3597,,,EVET,HAYIR,,,EVET,HAYIR,
ADANA,CEYHAN,36455,57391,,ORTALAMA,46392.05138,44218.22645,,,M›N,MAK,
ADANA,«UKUROVA,70614,160891,,STANDART SAPMA,170498.5505,182858.0337,,,199,4728584,
ADANA,FEKE,6173,3828,,,,,,,MAK,M›N,
ADANA,›MAMO–LU,10085,7115,,,,,,,4479196,172,
ADANA,KARA›SALI,9365,4506,,EVET_NORM,HAYIR_NORM,,,,,,
ADANA,KARATAﬁ,4365,9203,,2.871226454,3.833579305,,,,,,
ADANA,KOZAN,42996,33925,,,,,,,,,
ADANA,POZANTI,7050,5090,,,,,,,,,
ADANA,SA›MBEYL›,5771,2829,,,,,,,,,
ADANA,SARI«AM,48674,38727,,,,,,,,,
ADANA,SEYHAN,168103,290536,,,,,,,,,
ADANA,TUFANBEYL›,5885,4001,,,,,,,,,
ADANA,YUMURTALIK,5051,5999,,,,,,,,,
ADANA,Y‹RE–›R,108857,117581,,,,,,,,,
ADIYAMAN,,230176,99781,,,,,EVET_NORM,HAYIR_NORM,,,
ADIYAMAN,BESN›,27406,12948,,,,,0.119610038,0.157568122,,,
ADIYAMAN,«EL›KHAN,6314,3082,,,,,,,,,
ADIYAMAN,GERGER,7371,1033,,,,,,,,,
ADIYAMAN,G÷LBAﬁI,16641,11546,,,,,,,,,
ADIYAMAN,KAHTA,50267,9429,,,,,,,,,
ADIYAMAN,MERKEZ,104078,59087,,,,,,,,,
ADIYAMAN,SAMSAT,4359,279,,,,,,,,,
ADIYAMAN,S›NC›K,9989,385,,,,,,,,,
ADIYAMAN,TUT,3751,1992,,,,,,,,,
AFYONKARAH›SAR,,281392,154462,,,,,,,,,
AFYONKARAH›SAR,BAﬁMAK«I,3681,3220,,,,,,,,,
AFYONKARAH›SAR,BAYAT,3129,1668,,,,,,,,,
AFYONKARAH›SAR,BOLVAD›N,19397,7333,,,,,,,,,
AFYONKARAH›SAR,«AY,11076,8941,,,,,,,,,
AFYONKARAH›SAR,«OBANLAR,5611,2278,,,,,,,,,
AFYONKARAH›SAR,DAZKIRI,4079,3241,,,,,,,,,
AFYONKARAH›SAR,D›NAR,15500,13779,,,,,,,,,
AFYONKARAH›SAR,EM›RDA–,12061,8811,,,,,,,,,
AFYONKARAH›SAR,EVC›LER,2646,2208,,,,,,,,,
AFYONKARAH›SAR,HOCALAR,4517,1593,,,,,,,,,
AFYONKARAH›SAR,›HSAN›YE,13273,4577,,,,,,,,,
AFYONKARAH›SAR,›SCEH›SAR,11371,3477,,,,,,,,,
AFYONKARAH›SAR,KIZIL÷REN,967,664,,,,,,,,,
AFYONKARAH›SAR,MERKEZ,112894,58176,,,,,,,,,
AFYONKARAH›SAR,SANDIKLI,22642,11978,,,,,,,,,
AFYONKARAH›SAR,S›NANPAﬁA,18390,7476,,,,,,,,,
AFYONKARAH›SAR,SULTANDA–I,3355,7329,,,,,,,,,
AFYONKARAH›SAR,ﬁUHUT,16803,7713,,,,,,,,,
A–RI,,87257,115271,,,,,,,,,
A–RI,D›YAD›N,4633,9910,,,,,,,,,
A–RI,DO–UBAYAZIT,10856,34701,,,,,,,,,
A–RI,ELEﬁK›RT,11148,3757,,,,,,,,,
A–RI,HAMUR,3832,2829,,,,,,,,,
A–RI,MERKEZ,32718,28079,,,,,,,,,
A–RI,PATNOS,13766,26022,,,,,,,,,
A–RI,TAﬁLI«AY,3282,4570,,,,,,,,,
A–RI,TUTAK,7022,5403,,,,,,,,,
AKSARAY,,162985,52910,,,,,,,,,
AKSARAY,A–A«÷REN,4102,929,,,,,,,,,
AKSARAY,ESK›L,11059,3473,,,,,,,,,
AKSARAY,G‹LA–A«,6979,3158,,,,,,,,,
AKSARAY,G‹ZELYURT,4803,1534,,,,,,,,,
AKSARAY,MERKEZ,120374,38981,,,,,,,,,
AKSARAY,ORTAK÷Y,13892,4143,,,,,,,,,
AKSARAY,SARIYAHﬁ›,1776,692,,,,,,,,,
AMASYA,,121360,94367,,,,,,,,,
AMASYA,G÷YN‹CEK,4738,2398,,,,,,,,,
AMASYA,G‹M‹ﬁHACIK÷Y,6938,9664,,,,,,,,,
AMASYA,HAMAM÷Z‹,1829,944,,,,,,,,,
AMASYA,MERKEZ,49705,40053,,,,,,,,,
AMASYA,MERZ›FON,22920,25193,,,,,,,,,
AMASYA,SULUOVA,22131,8508,,,,,,,,,
AMASYA,TAﬁOVA,13099,7607,,,,,,,,,
ANKARA,,1668601,1747151,,,,,,,,,
ANKARA,AKYURT,15310,3963,,,,,,,,,
ANKARA,ALTINDA–,140456,81298,,,,,,,,,
ANKARA,AYAﬁ,4681,3929,,,,,,,,,
ANKARA,BALA,8193,4004,,,,,,,,,
ANKARA,BEYPAZARI,19119,12377,,,,,,,,,
ANKARA,«AMLIDERE,3951,729,,,,,,,,,
ANKARA,«ANKAYA,134290,483787,,,,,,,,,
ANKARA,«UBUK,42141,12613,,,,,,,,,
ANKARA,ELMADA–,13392,15216,,,,,,,,,
ANKARA,ET›MESGUT,156646,187543,,,,,,,,,
ANKARA,EVREN,1125,638,,,,,,,,,
ANKARA,G÷LBAﬁI,39635,35562,,,,,,,,,
ANKARA,G‹D‹L,4008,1866,,,,,,,,,
ANKARA,HAYMANA,11691,4648,,,,,,,,,
ANKARA,KAHRAMANKAZAN,21568,9325,,,,,,,,,
ANKARA,KALEC›K,5850,2988,,,,,,,,,
ANKARA,KE«›÷REN,320474,255729,,,,,,,,,
ANKARA,KIZILCAHAMAM,12089,5264,,,,,,,,,
ANKARA,MAMAK,197896,198764,,,,,,,,,
ANKARA,NALLIHAN,10560,8873,,,,,,,,,
ANKARA,POLATLI,39832,33484,,,,,,,,,
ANKARA,PURSAKLAR,63929,19700,,,,,,,,,
ANKARA,S›NCAN,208871,110898,,,,,,,,,
ANKARA,ﬁEREFL›KO«H›SAR,11256,8307,,,,,,,,,
ANKARA,YEN›MAHALLE,181638,245646,,,,,,,,,
ANTALYA,,574421,829415,,,,,,,,,
ANTALYA,AKSEK›,3809,3288,,,,,,,,,
ANTALYA,AKSU,19390,21482,,,,,,,,,
ANTALYA,ALANYA,80355,84109,,,,,,,,,
ANTALYA,DEMRE,7729,9200,,,,,,,,,
ANTALYA,D÷ﬁEMEALTI,17023,19148,,,,,,,,,
ANTALYA,ELMALI,12740,12654,,,,,,,,,
ANTALYA,F›N›KE,13277,16854,,,,,,,,,
ANTALYA,GAZ›PAﬁA,12593,19576,,,,,,,,,
ANTALYA,G‹NDO–MUﬁ,2838,1978,,,,,,,,,
ANTALYA,›BRADI,818,956,,,,,,,,,
ANTALYA,KAﬁ,15437,20456,,,,,,,,,
ANTALYA,KEMER,8944,14421,,,,,,,,,
ANTALYA,KEPEZ,137977,164217,,,,,,,,,
ANTALYA,KONYAALTI,25661,71603,,,,,,,,,
ANTALYA,KORKUTEL›,18679,16144,,,,,,,,,
ANTALYA,KUMLUCA,20637,22452,,,,,,,,,
ANTALYA,MANAVGAT,57127,74884,,,,,,,,,
ANTALYA,MURATPAﬁA,90187,211711,,,,,,,,,
ANTALYA,SER›K,29200,44282,,,,,,,,,
ARDAHAN,,23455,29529,,,,,,,,,
ARDAHAN,«ILDIR,2631,2667,,,,,,,,,
ARDAHAN,DAMAL,275,3084,,,,,,,,,
ARDAHAN,G÷LE,7117,6055,,,,,,,,,
ARDAHAN,HANAK,1867,3561,,,,,,,,,
ARDAHAN,MERKEZ,8660,12983,,,,,,,,,
ARDAHAN,POSOF,2905,1179,,,,,,,,,
ARTV›N,,49974,56504,,,,,,,,,
ARTV›N,ARDANU«,2634,4575,,,,,,,,,
ARTV›N,ARHAV›,6822,6533,,,,,,,,,
ARTV›N,BOR«KA,8129,5700,,,,,,,,,
ARTV›N,HOPA,7650,14434,,,,,,,,,
