DOMÝNOS PÝZZA STOK SETLERÝ,,,
Date,Open,High,Low
10/16/2019,254.89,257.61,253.08
10/17/2019,256.12,259.96,255.78
10/18/2019,257.45,258.4,254.23
10/21/2019,256.61,259.84,255.67
10/22/2019,257.27,259.47,255.38
10/23/2019,258.74,259.62,255.46
10/24/2019,256.65,264.1,255.77
10/25/2019,263.03,276.57,263.03
10/28/2019,272.36,274.2,268.73
10/29/2019,267.45,267.67,262.26
10/30/2019,263.32,271.99,263.32
10/31/2019,271.67,275.55,268.09
11/1/2019,272.93,274.75,268.48
11/4/2019,268.06,270.72,265.01
11/5/2019,266.98,276.75,265.51
11/6/2019,276.83,278.96,273.33
11/7/2019,279.16,283.47,277.62
11/8/2019,282.68,287.18,278.66
11/11/2019,279.76,282.92,278.35
11/12/2019,281.43,281.73,276.43
11/13/2019,276.99,280.38,276.01
11/14/2019,278.69,281.7,276.82
11/15/2019,280.04,282.35,277.12
11/18/2019,281.22,285.57,280.21
11/19/2019,284.62,288.31,283.65
11/20/2019,286.49,289.81,285.76
11/21/2019,287.26,290.76,283.06
11/22/2019,284.38,287.35,283.21
11/25/2019,288.8,293.09,287.97
11/26/2019,292.96,296.25,287.56
11/27/2019,290.4,295.89,288.54
11/29/2019,295.42,297.18,293.8
12/2/2019,296.26,298.98,293.14
12/3/2019,290,292.32,283.7
12/4/2019,283.85,288.9,282.66
12/5/2019,287.88,288.88,285.6
12/6/2019,288.58,289.08,286.41
12/9/2019,286.61,288.64,285.16
12/10/2019,287.05,287.8,283.4
12/11/2019,285.26,294.4,285.26
12/12/2019,292.95,297.33,292.61
12/13/2019,295.28,298.33,293.03
12/16/2019,295.01,296.22,291.79
12/17/2019,292.73,292.73,289.71
12/18/2019,289,291.04,283.46
12/19/2019,285.92,293.55,284.92
12/20/2019,293.07,293.07,290.96
12/23/2019,292.42,293.57,288.03
12/24/2019,288.26,290.69,287.55
12/26/2019,290.31,294.05,288.85
12/27/2019,293.26,294.21,291.44
12/30/2019,292.41,294.26,290.68
12/31/2019,292.69,295.97,292.69
1/2/2020,293.79,295.1,292.13
1/3/2020,291.72,295.26,290.78
1/6/2020,294,294.38,291.78
1/7/2020,291.7,293.25,290.88
1/8/2020,291.19,292.2,288.88
1/9/2020,292.29,293.66,287.78
1/10/2020,290.78,291.35,287.1
1/13/2020,289.57,290.71,283.37
1/14/2020,284.03,291,284.03
1/15/2020,284.97,292.58,284.79
1/16/2020,289.31,290.93,286.95
1/17/2020,287.36,288.87,285.63
1/21/2020,286.46,286.66,282.34
1/22/2020,286.53,288.82,285.61
1/23/2020,285.49,289.01,284.5
1/24/2020,289.25,289.25,280.66
1/27/2020,282.08,287.2,281.22
1/28/2020,283.07,287.12,283.07
1/29/2020,285.1,286.97,282.07
1/30/2020,284.02,284.95,280.02
1/31/2020,282.95,282.95,276.86
2/3/2020,282.51,282.95,270.08
2/4/2020,272.65,274.54,271.65
2/5/2020,275,278.99,274.16
2/6/2020,278.37,280.71,275.35
2/7/2020,284.46,284.46,274.32
2/10/2020,275.52,276.95,273.6
2/11/2020,275,278,273.59
2/12/2020,275.52,282.97,274.99
2/13/2020,279.37,287.21,279.37
2/14/2020,285.97,293.15,284.01
2/18/2020,293.24,297.21,291.87
2/19/2020,297.99,301.77,295.39
2/20/2020,362.03,381.86,356.96
2/21/2020,366.01,374,362.97
2/24/2020,355.51,366.89,354.63
2/25/2020,363.71,379.58,363.71
2/26/2020,371.87,377.33,366.38
2/27/2020,361.05,361.05,347.73
2/28/2020,341.1,345.72,333.91
3/2/2020,340.22,348.52,333.79
3/3/2020,349.48,350,336.19
3/4/2020,341.95,345.86,334.23
3/5/2020,338.18,340.59,329.16
3/6/2020,325.36,337.23,320.75
3/9/2020,321.56,340.18,314
3/10/2020,337.79,347.32,328.5
3/11/2020,338.3,344.72,332.03
3/12/2020,308.02,329.62,300
3/13/2020,328.39,329.08,297.32
3/16/2020,297.43,311.53,283.6
3/17/2020,291.64,314.96,282.03
3/18/2020,296.54,303.87,275.22
3/19/2020,292,337.22,289.34
3/20/2020,326.91,344.2,298.14
3/23/2020,310.91,336.8,294.21
3/24/2020,341.12,349,333.16
3/25/2020,345.48,349.68,320.81
3/26/2020,323.5,342,317.82
3/27/2020,328.83,341.99,326.06
3/30/2020,338.65,353.42,333.51
3/31/2020,325,330.84,321
4/1/2020,312.01,337.83,310.34
4/2/2020,330.22,341.57,321.5
4/3/2020,333,338.36,325.1
4/6/2020,340,340.84,330.43
4/7/2020,347.28,351.91,333.82
4/8/2020,338.89,344.97,333.19
4/9/2020,348,352.22,340.53
4/13/2020,344.55,357.97,338.71
4/14/2020,364.45,365.88,353.23
4/15/2020,355.09,360.58,353.39
4/16/2020,359.06,362.99,356.62
4/17/2020,362.58,366,355.42
4/20/2020,364.66,374.2,364.66
4/21/2020,370.48,377.34,360.24
4/22/2020,373.32,387.85,370.01
4/23/2020,379.91,380.1,359
4/24/2020,368.98,374.93,363.91
4/27/2020,369.64,374.62,361.57
4/28/2020,364,365.52,354.65
4/29/2020,356.01,367.3,349.09
4/30/2020,363.35,370.2,361.93
5/1/2020,358.67,364.59,356.13
5/4/2020,356.26,361.54,356.1
5/5/2020,362.44,372.84,357.1
5/6/2020,369.58,379.56,369.58
5/7/2020,371,371.97,364.13
5/8/2020,369.5,373.68,365.11
5/11/2020,369.15,382.73,365.03
5/12/2020,380.6,382.21,375.32
5/13/2020,379.73,385.34,376.52
5/14/2020,383.88,385.97,372.51
5/15/2020,372.14,376.08,369.42
5/18/2020,378.74,378.74,361.06
5/19/2020,363,372.32,361.41
5/20/2020,373,377.4,371.69
5/21/2020,377.4,378.8,372.98
5/22/2020,376.46,378.25,367.54
5/26/2020,374.95,375.37,360.13
5/27/2020,363.72,375.21,360.02
5/28/2020,375.96,375.96,364.57
5/29/2020,370.26,386.51,369.74
6/1/2020,385.59,394.39,383.2
6/2/2020,386.63,387.49,381.13
6/3/2020,387,391,385
6/4/2020,390.4,394.36,379.53
6/5/2020,381.68,382.34,371.86
6/8/2020,371.8,377.54,370.83
6/9/2020,376.94,385.42,374.95
6/10/2020,383.28,393,380.41
6/11/2020,387,394.99,382.18
6/12/2020,385.32,387.19,365.95
6/15/2020,376.57,378.68,368.82
6/16/2020,380.05,381.18,371.05
6/17/2020,375.34,382.84,374.73
6/18/2020,380.93,381.63,374
6/19/2020,380.81,381,373.59
6/22/2020,377.04,387.1,376.05
6/23/2020,387.79,388.48,376.8
6/24/2020,377.91,381.88,372.82
6/25/2020,373.72,376.27,369.32
6/26/2020,374.55,375.25,364.37
6/29/2020,365.16,370.35,362
6/30/2020,368.89,371.02,363.5
7/1/2020,371.42,377.02,369.6
7/2/2020,377.54,379.99,372.12
7/6/2020,378,387.01,376.21
7/7/2020,384.74,388.73,380.88
7/8/2020,381.72,385.43,381.46
7/9/2020,386.07,387.34,378.38
7/10/2020,387,398.91,383.71
7/13/2020,402,417.15,401.24
7/14/2020,400.43,405.43,390.58
7/15/2020,401,417.34,399.43
7/16/2020,404,422.15,403.69
7/17/2020,410,410,388
7/20/2020,391.1,394.68,385.13
7/21/2020,395,395.64,386.56
7/22/2020,388.47,395.22,387.41
7/23/2020,389.99,390.6,377.9
7/24/2020,379.48,387.23,376.58
7/27/2020,390.62,394.89,387.11
7/28/2020,389.54,390.83,384.77
7/29/2020,387.19,389.3,384.3
7/30/2020,383,386.04,379.68
7/31/2020,384.92,387.12,377.96
8/3/2020,387.45,393.96,382
8/4/2020,385,392.03,383.54
8/5/2020,389.97,394.5,388.6
8/6/2020,392.19,395.24,390.92
8/7/2020,392.58,393.85,385
8/10/2020,389.56,391.92,384.4
8/11/2020,384,391.18,381.87
8/12/2020,390.36,395.95,388.02
8/13/2020,394.38,399.48,392.26
8/14/2020,399.98,400.9,393.67
8/17/2020,401,409.8,401
8/18/2020,410,413.73,406.17
8/19/2020,413.45,416.3,408.02
8/20/2020,413.33,419.66,412.82
8/21/2020,419.94,423.55,416.73
8/24/2020,423.02,424.72,416.77
8/25/2020,418.23,419.84,411.06
8/26/2020,417.56,419.72,414.92
8/27/2020,418.09,422.95,416.3
8/28/2020,414.77,419.37,412.01
8/31/2020,418,418.28,407.16
9/1/2020,408.44,411.72,405.65
9/2/2020,409.86,413.18,402.62
9/3/2020,403,403.31,389.64
9/4/2020,397.61,401.2,376.33
9/8/2020,381.57,386.65,376.11
9/9/2020,382.5,387.69,380.48
9/10/2020,383.94,395.18,383.13
9/11/2020,401.39,401.98,392.94
9/14/2020,395.45,397.59,385.26
9/15/2020,389.74,394.72,387.39
9/16/2020,390.72,394.01,385.98
9/17/2020,386.72,395.44,385.83
9/18/2020,393.41,398.05,388.9
9/21/2020,395.44,405.96,392.08
9/22/2020,404.96,414.92,400.9
9/23/2020,414.57,421.15,409.77
9/24/2020,413.25,417.55,408.55
9/25/2020,414.6,418.28,410.38
9/28/2020,416.44,423.11,414.88
9/29/2020,422.2,428.54,420.65
9/30/2020,425,428,421.77
10/1/2020,427.11,430.91,424.53
10/2/2020,425.51,435.14,424.51
10/5/2020,433.66,435.58,423.99
10/6/2020,426.55,433.52,425.37
10/7/2020,429.8,433.45,425.77
10/8/2020,405.9,410.92,394.9
10/9/2020,403,404.55,386.64
10/12/2020,392,395.94,388.02
10/13/2020,393.62,407.88,392.73
10/14/2020,408.41,411.4,402.57
10/15/2020,402.61,405.63,400.21
10/16/2020,401.72,403.67,396.4
10/19/2020,400.73,400.73,393.55
10/20/2020,394.57,397.81,391.77
10/21/2020,393.67,393.71,388.81
10/22/2020,390,393.46,387.18
10/23/2020,390,394.54,386.33
10/26/2020,393.08,396.74,389.55
10/27/2020,396.97,398.71,392.54
10/28/2020,394.85,394.85,383.64
10/29/2020,385.65,392.75,382.19
10/30/2020,385,386.76,373.43
11/2/2020,377.79,380.35,370.57
11/3/2020,379.62,386.35,377.12
11/4/2020,386.72,394.47,384
11/5/2020,393.84,398.25,390.88
11/6/2020,394.01,402.33,390.51
11/9/2020,387.21,389.5,369.22
11/10/2020,375,386.92,370.26
11/11/2020,383.76,396.14,383.04
11/12/2020,394.63,401,386.85
11/13/2020,390.17,393.79,387.71
11/16/2020,384.29,392.65,383.01
11/17/2020,385.46,391.31,384.41
11/18/2020,385.66,387.3,382.31
11/19/2020,384.31,387.68,383.01
11/20/2020,386.87,390.9,384.5
11/23/2020,391,393.99,385.18
11/24/2020,387.36,387.36,379.52
11/25/2020,384.78,385.41,380.91
11/27/2020,387,392.49,385.02
11/30/2020,388.58,393.08,386.1
12/1/2020,391,393.27,386.9
12/2/2020,393,394.31,386.77
12/3/2020,387.95,391.48,383.08
12/4/2020,383.45,385.87,382.55
12/7/2020,383.38,392.04,382.42
12/8/2020,386.08,389.21,383.82
12/9/2020,387.33,390,384.11
12/10/2020,382.87,386.69,379.42
12/11/2020,386.92,387.12,381.97
12/14/2020,382,387.58,381.51
12/15/2020,384.51,389.05,383.28
12/16/2020,386.4,387.76,381.7
12/17/2020,385.72,395.69,384.47
12/18/2020,396.99,398.11,392.5
12/21/2020,392.68,398.47,389.4
12/22/2020,396.37,398.72,392.71
12/23/2020,398,404.57,396.18
12/24/2020,402.52,404.56,395.66
12/28/2020,400.11,403.62,396.54
12/29/2020,399.04,400,382.43
12/30/2020,385.7,389.88,383.62
12/31/2020,384.6,385.4,379.62
1/4/2021,383,383.3,377.02
1/5/2021,378,382.22,377.81
1/6/2021,378.01,385.7,377.42
1/7/2021,378.11,387.29,378.11
1/8/2021,382.28,388.94,381.19
1/11/2021,389.51,397.4,387.95
1/12/2021,391.91,394.31,384.2
1/13/2021,385,387.89,381.82
1/14/2021,385.43,385.43,373.64
1/15/2021,374.8,377.23,371.34
1/19/2021,377.9,379.62,372.58
1/20/2021,373.5,379.23,371
1/21/2021,379,382.74,376
1/22/2021,381.57,381.57,375.86
1/25/2021,381.24,384,376.65
1/26/2021,378.5,380.99,374
1/27/2021,376.87,381,371.04
1/28/2021,378.24,378.24,366.5
1/29/2021,371.33,376.98,369.71
2/1/2021,370,375.99,368.25
2/2/2021,374.6,382.87,373.64
2/3/2021,376.68,379.85,372
2/4/2021,373.77,374.47,371
2/5/2021,374.07,382.1,373.49
2/8/2021,375.29,380.49,374.51
2/9/2021,380.3,384.3,379.04
2/10/2021,384.02,386.48,381.09
2/11/2021,383.27,385.94,380.99
2/12/2021,385.07,388.05,382.31
2/16/2021,386.17,387.46,377.68
2/17/2021,377.1,377.1,370.67
2/18/2021,375.67,378.9,374.46
2/19/2021,378.08,378.24,371
2/22/2021,371,371.99,361.19
2/23/2021,364,369.03,358.36
2/24/2021,367.35,368.47,360.01
2/25/2021,340,344.19,331.22
2/26/2021,339.26,348.64,337.1
3/1/2021,349.56,349.6,344.52
3/2/2021,345.57,347.5,340.94
3/3/2021,340.98,342.64,332.28
3/4/2021,332.93,338.92,326.66
3/5/2021,330.19,331.39,319.71
3/8/2021,330,336.6,325.63
3/9/2021,339.36,354.61,337.08
3/10/2021,356.63,360.74,352.46
3/11/2021,358.75,362.45,355.09
3/12/2021,353.73,361.63,353.23
3/15/2021,361.75,363.17,357.5
3/16/2021,365.07,367.62,362.34
3/17/2021,363.22,364.38,359.31
3/18/2021,360.76,364.46,355.27
3/19/2021,365.4,366.58,361.74
3/22/2021,363.71,370.32,363.5
3/23/2021,369.71,374.94,367.68
3/24/2021,374.01,374.03,363.57
3/25/2021,366.12,368.45,364.01
3/26/2021,366.25,372.05,365.05
3/29/2021,372.41,377.98,370.03
3/30/2021,370.6,370.98,365.58
3/31/2021,369.53,372.34,366.77
4/1/2021,370,376.73,367.48
4/5/2021,373,373.75,367.29
4/6/2021,374.37,384,372.81
4/7/2021,380.25,383.97,377.35
4/8/2021,385.5,387.01,381.15
4/9/2021,382.87,390.43,382.68
4/12/2021,391.07,392.57,387.35
4/13/2021,392.22,397.33,391.08
4/14/2021,394.61,396.27,387.62
4/15/2021,392,393.43,388.4
4/16/2021,395,396.01,392.31
4/19/2021,393.58,399.39,393.58
4/20/2021,398.28,402.16,396.51
4/21/2021,398.14,398.14,393.59
4/22/2021,396.05,400.58,393.5
4/23/2021,399.55,401.02,395.5
4/26/2021,398.94,402.67,395.61
4/27/2021,400.02,403.38,399.49
